                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  8.508881193761E+00  1.806153317185E-15 -1.884090784774E-01  7.698785420941E+01  1.186080983287E-01  1.577143037100E+00 -3.652564476541E-01 -4.647175122094E-03 -1.615267128799E+00  3.190143856840E+00 -5.280372684501E-03  4.841424800741E-02 -4.313387532396E-02 -1.439470350541E+01  2.227820768031E-01 -2.850245187784E-03 -2.590475913129E-04  9.819277368125E-05  4.125801611624E+01  2.850245187848E-03 -7.773617536200E-01 -1.131987906222E-19 -2.869450835255E-21  6.250903745190E-20 -8.687611843229E-02
  4.000000000000E+00  6.000000000000E+00  1.212044384014E+01  5.051232869480E-15 -2.003488613105E-01  1.545458123129E+02  4.954782853407E-01  1.989165195820E+00 -9.322088351091E-01 -5.371758568606E-03 -2.443992874821E+00  9.322617799357E+00  1.071177760871E+00 -7.291247781555E-01 -3.420529827085E-01 -5.554761865768E+00 -4.916576577364E-02  5.257885993847E-04 -4.214666425327E-04 -9.807233638680E-07  9.189876584364E+00 -5.257885993603E-04 -1.290783837111E-02 -2.445104197399E-19  2.245944649080E-20  6.613429202913E-20 -3.314071686358E-01
  8.000000000000E+00  1.000000000000E+01  1.310314455712E+01  7.300697228476E-15 -1.948063289730E-01  1.779433040074E+02  6.844742208118E-01  1.936755224612E+00 -8.842498423760E-01 -5.434132292012E-03 -2.567029022373E+00  1.028348751865E+01  4.650101895927E-01 -9.738582050381E-01  5.088480154406E-01 -2.264848886011E+00 -9.982334825517E-02  7.179589892705E-04 -2.460203982130E-04  7.243110979293E-05  3.826736536180E+00 -7.179589892126E-04  2.744006123385E-02 -2.523881985928E-19  3.429848386079E-21  5.978230523499E-21 -1.387432007254E-01
  1.200000000000E+01  1.400000000000E+01  1.403404505561E+01  8.174825255382E-15 -1.866167611044E-01  2.031773554882E+02  7.940691802848E-01  1.916669104267E+00 -9.750726696574E-01 -4.869002450275E-03 -2.629805933344E+00  1.022947518623E+01  4.380031527462E-01 -9.071698206220E-01  4.691666678747E-01 -2.209734005573E+00 -2.024319995022E-02  4.295096614729E-04 -1.382208657704E-04  2.100034395794E-05  3.146484474237E+00 -4.295096614293E-04  3.403095225403E-02 -2.525168716850E-19  3.360321647911E-21 -2.461065554598E-20 -1.185342404258E-01
  1.600000000000E+01  1.800000000000E+01  1.467657293508E+01  8.157101657908E-15 -1.776912541365E-01  2.213080627674E+02  8.712971169109E-01  1.897995679003E+00 -9.731707052277E-01 -5.187499723450E-03 -2.617048371760E+00  9.690804961282E+00  3.625669123658E-01 -8.326099522558E-01  4.700430398907E-01 -1.546832497642E+00 -1.840812096400E-02  2.226296652482E-04 -8.924285251108E-05  1.041734772608E-05  2.394512269899E+00 -2.226296652472E-04  3.256927338064E-02 -2.893679814225E-19 -7.572656062959E-21 -7.546718740323E-20 -8.866641192163E-02
  2.000000000000E+01  2.200000000000E+01  1.523116634165E+01  7.952252138038E-15 -1.702943873196E-01  2.377704258879E+02  9.325572658616E-01  1.889972521041E+00 -9.987188887714E-01 -5.304871443206E-03 -2.603030333669E+00  9.323612322125E+00  3.237986795185E-01 -7.686673899510E-01  4.448687104393E-01 -1.313795285049E+00 -1.692437766426E-02  1.502223773344E-04 -5.370954981517E-05  6.438594482094E-06  1.995770580350E+00 -1.502223772612E-04  2.771255353045E-02 -3.127055937352E-19 -6.075929849454E-21 -1.139138691631E-19 -7.380772594478E-02
  2.400000000000E+01  2.600000000000E+01  1.567441131357E+01  7.448745830210E-15 -1.639593445644E-01  2.513171431961E+02  9.826815916395E-01  1.879672120525E+00 -1.000492773175E+00 -5.468961031554E-03 -2.581024582812E+00  8.906792152156E+00  2.808456157451E-01 -7.059277015492E-01  4.250820858063E-01 -1.049927457963E+00 -1.389635954735E-02  1.568900579303E-04 -2.928039187150E-05 -8.480562057697E-06  1.664500678049E+00 -1.568900579423E-04  2.331303185061E-02 -2.979502059360E-19 -8.267870917922E-21 -1.211026417682E-19 -6.093071001694E-02
  2.800000000000E+01  3.000000000000E+01  1.606346210801E+01  6.835521226013E-15 -1.587513223778E-01  2.635764108299E+02  1.023689818585E+00  1.870371239114E+00 -1.008986147683E+00 -5.716106574925E-03 -2.561628823053E+00  8.570302911574E+00  2.504729286782E-01 -6.535785063192E-01  4.031055776405E-01 -9.079486547305E-01 -1.219519806789E-02  1.349583266213E-04 -1.610225307629E-05 -1.438493843104E-05  1.447689447723E+00 -1.349583266327E-04  1.933318481836E-02 -3.045928576141E-19  4.846493893849E-22 -1.266015517413E-19 -5.262515312697E-02
  3.200000000000E+01  3.400000000000E+01  1.639826081856E+01  6.429293801629E-15 -1.542897597837E-01  2.743630222284E+02  1.057176771122E+00  1.858739928655E+00 -1.009261579198E+00 -5.889117429337E-03 -2.542527947394E+00  8.246667291037E+00  2.237204967579E-01 -6.067348135251E-01  3.830143167668E-01 -7.785999578140E-01 -1.039260329791E-02  1.031786376955E-04 -8.854959552868E-06 -1.536284792821E-05  1.272698478704E+00 -1.031786377025E-04  1.597678240427E-02 -3.094729429273E-19  4.813169386849E-21 -1.531764341403E-19 -4.586605466687E-02
